timeSecond,phase,arrivedStudents,windowQueues,totalQueuing,servingStudents,waitingForSeatStudents,diningStudents,actualSeatedTables,actualSeatedSeats,reservedOrOccupiedTables,reservedOrOccupiedSeats,lockedOnlySeats,leftNormally,balkedStudents,actualTableSeatGroups,tableReservationCounts
48,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
49,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
50,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
51,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
52,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
53,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
54,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
55,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
56,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
57,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
58,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
59,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
60,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
61,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
62,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
63,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
64,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
65,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
66,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
67,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
68,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
69,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
70,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
71,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
72,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
73,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
74,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
75,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
76,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
77,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
78,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
79,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
80,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
81,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
82,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
83,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
84,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
85,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
86,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
87,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
88,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
89,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
90,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
91,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
92,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
93,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
94,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
95,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
96,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
97,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
98,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
99,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
100,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
101,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
102,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
103,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
104,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
105,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
106,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
107,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
108,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
109,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
110,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
111,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
112,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
113,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
114,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
115,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
116,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
117,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
118,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
119,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
120,"午餐",1,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,0,0,0,0,0,0,0,0,"none","none"
121,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,2,0,0,0,0,0,0,0,0,0,"none","none"
122,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,2,0,0,0,0,0,0,0,0,0,"none","none"
123,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,2,0,0,0,0,0,0,0,0,0,"none","none"
124,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
125,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
126,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
127,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
128,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
129,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
130,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
131,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
132,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
133,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
134,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
135,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
136,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
137,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
138,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
139,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
140,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
141,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,1,1,1,1,1,0,0,0,"T191=[6631, -1, -1, -1]","T191=1"
142,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
143,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
144,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
145,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
146,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
147,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
148,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
149,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
150,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
151,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
152,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
153,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
154,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
155,"午餐",2,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
156,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
157,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
158,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
159,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
160,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
161,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
162,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
163,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
164,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
165,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
166,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
167,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
168,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
169,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
170,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
171,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,1,0,2,2,2,2,2,0,0,0,"T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T110=1|T191=1"
172,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,3,3,3,3,3,0,0,0,"T11=[3211, -1, -1, -1]|T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T11=1|T110=1|T191=1"
173,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,3,3,3,3,3,0,0,0,"T11=[3211, -1, -1, -1]|T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T11=1|T110=1|T191=1"
174,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,3,3,3,3,3,0,0,0,"T11=[3211, -1, -1, -1]|T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T11=1|T110=1|T191=1"
175,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,3,3,3,3,3,0,0,0,"T11=[3211, -1, -1, -1]|T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T11=1|T110=1|T191=1"
176,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,3,3,3,3,3,0,0,0,"T11=[3211, -1, -1, -1]|T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T11=1|T110=1|T191=1"
177,"午餐",3,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,3,3,3,3,3,0,0,0,"T11=[3211, -1, -1, -1]|T110=[3326, -1, -1, -1]|T191=[6631, -1, -1, -1]","T11=1|T110=1|T191=1"
